ban1,ban2,ban3,ban4,paddy
1065,985,597,2962,1
1065,985,597,2962,1
1042,985,576,3243,1
1043,980,601,2858,1
1044,968,605,2814,1
1050,976,598,3112,1
1074,1017,654,2823,1
1073,993,608,2836,1
1053,985,597,2859,1
1046,971,619,2713,1
1081,988,654,2607,1
1067,1004,650,2615,1
1061,984,622,2561,1
1061,984,622,2561,1
1057,968,619,2668,1
1061,989,634,2741,1
1061,990,626,2931,1
1061,990,609,3008,1
1063,993,608,3149,1
1062,988,585,3295,1
1049,994,577,3414,1
1043,987,596,3351,1
1052,979,612,3371,1
1052,979,612,3371,1
1060,990,611,3125,1
1064,965,595,2812,1
1059,987,608,2833,1
1063,997,602,2917,1
1059,1005,649,2888,1
1074,993,674,2784,1
1053,965,609,2709,1
1045,976,600,2909,1
1045,976,600,2909,1
1045,983,590,3311,1
1054,985,598,3065,1
1039,972,584,2913,1
1069,983,639,2706,1
1060,973,607,2832,1
1065,969,603,2809,1
1062,964,622,2639,1
1064,992,655,2649,1
1053,998,647,2665,1
1053,998,647,2665,1
1064,972,620,2656,1
1057,982,614,2857,1
1058,994,625,2834,1
1058,994,616,2944,1
1041,994,609,3174,1
1053,1007,592,3440,1
1050,988,603,3478,1
